gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,college,free/reduced,not complete,66,95,33
female,group C,college,free/reduced,complete,45,63,78
female,group D,college,free/reduced,not complete,45,73,1078
female,group E,Bachelor's degree,,not complete,32,98,94
male,group B,college,standard,not complete,60,84,100
female,group A,high school,free/reduced,not complete,39,62,68
female,group E,high school,standard,complete,1089,99,95
female,group B,associate's degree,free/reduced,complete,30,66,56
female,group E,college,standard,not complete,31,100,91
male,group C,college,free/reduced,complete,48,41,76
female,group D,bachelor's degree,standard,complete,98,68,34
male,group B,,free/reduced,complete,85,37,87
male,group C,bachelor's degree,free/reduced,complete,90,33,99
male,group E,high school,free/reduced,not complete,97,53,42
male,group D,associate's degree,standard,,48,48,77
female,,college,standard,not complete,71,49,49
male,group A,college,standard,not complete,48,38,64
male,group C,associate's degree,standard,not complete,38,65,89
female,group D,high school,free/reduced,complete,35,90,780
male,group D,associate's degree,free/reduced,not complete,53,34,35
undisclosed,group B,college,standard,not complete,81,40,67
other,group E,college,free/reduced,complete,37,68,44
undisclosed,group E,college,free/reduced,complete,92,47,70
male,group E,bachelor's degree,free/reduced,complete,46,70,58
female,group D,high school,standard,complete,79,78,92
female,Group B,college,,not complete,90,100,39
,group A,bachelor's degree,standard,complete,56,76,83
male,group D,bachelor's degree,free/reduced,complete,59,53,81
male,group A,college,standard,not complete,46,82,60
female,group E,high school,free/reduced,not complete,64,54,78
male,group B,college,free/reduced,complete,96,92,31
female,group A,high school,free/reduced,not complete,62,79,632
female,group E,college,standard,complete,42,73,81
male,group C,high school,standard,complete,472,59,76
male,group E,college,standard,not complete,71,43,42
male,group D,high school,free/reduced,complete,49,84,76
male,group E,bachelor's degree,standard,complete,75,75,91
male,group C,master's degree,free/reduced,not complete,66,74,83
female,group B,bachelor's degree,standard,complete,42,82,62
female,group C,bachelor's degree,standard,not complete,77,71,36
male,group B,college,free/reduced,not complete,50,37,65
male,group B,college,standard,complete,58,70,57
male,group D,high school,free/reduced,complete,560,80,57
male,group E,associate's degree,free/reduced,complete,98,61,35
undisclosed,group B,bachelor's degree,free/reduced,not complete,69,54,63
female,group B,high school,free/reduced,not complete,55,52,83
male,group D,bachelor's degree,standard,complete,99,89,31
male,group B,high school,standard,not complete,67,50,91
male,group D,bachelor's degree,standard,not complete,64,71,62
female,group B,master's degree,free/reduced,not complete,49,68,46
male,Group E,associate's degree,free/reduced,complete,51,80,89
male,group E,bachelor's degree,,complete,79,76,65
female,group A,high school,free/reduced,not complete,83,81,97
male,group A,high school,standard,complete,67,63,42
male,group C,bachelor's degree,standard,not complete,31,47,30
male,group E,associate's degree,free/reduced,complete,84,93,50
male,group E,college,free/reduced,not complete,32,90,41
other,group D,high school,free/reduced,complete,99,94,864
male,group C,associate's degree,standard,not complete,60,70,83
undisclosed,group C,associate's degree,standard,complete,43,37,56
male,group D,associate's degree,standard,not complete,99,60,36
female,group D,high school,standard,complete,60,74,49
male,group B,Bachelor's degree,free/reduced,complete,32,48,67
female,group D,college,free/reduced,complete,32,30,97
female,group C,high school,standard,not complete,41,32,66
female,group A,master's degree,free/reduced,not complete,62,43,90
male,group D,bachelor's degree,standard,not complete,61,69,65
female,group C,high school,free/reduced,complete,94,100,99
female,group C,associate's degree,standard,complete,91,99,61
female,group D,college,standard,,38,69,92
male,group A,bachelor's degree,free/reduced,not complete,99,31,61
female,group E,associate's degree,standard,complete,31,49,100
female,group B,associate's degree,standard,not complete,43,37,98
female,group B,bachelor's degree,free/reduced,complete,77,94,90
female,group B,master's degree,standard,not complete,50,70,814
female,group C,associate's degree,free/reduced,not complete,99,63,36
female,group D,college,free/reduced,complete,70,81,38
male,group B,associate's degree,free/reduced,not complete,74,80,98
female,group D,associate's degree,free/reduced,Complete,50,68,52
female,group A,associate's degree,standard,,61,93,36
female,group A,associate's degree,standard,,61,93,36
male,group D,high school,free/reduced,not complete,55,69,64
male,group B,college,standard,complete,51,62,93
Female,group D,high school,standard,not complete,66,79,72
male,group C,associate's degree,free/reduced,complete,81,53,70
female,group D,associate's degree,standard,complete,75,53,92
female,group D,college,standard,not complete,100,80,95
female,group C,college,free/reduced,complete,65,42,91
male,group D,college,standard,complete,61,30,605
male,group D,college,standard,complete,61,30,605
female,group C,high school,standard,complete,30,74,81
female,group C,high school,standard,complete,30,74,81
female,group B,college,free/reduced,not complete,32,97,88
male,group C,college,standard,complete,73,93,55
male,group E,high school,free/reduced,complete,45,84,86
male,group C,high school,standard,complete,64,67,30
other,group E,master's degree,standard,complete,84,77,53
female,group E,college,standard,complete,93,55,95
,group B,,standard,not complete,63,70,80
female,group A,College,standard,complete,70,67,392
male,group D,associate's degree,standard,not complete,84,91,100
female,group B,high school,standard,not complete,49,98,37
female,group D,college,free/reduced,complete,99,43,65
male,group A,high school,free/reduced,not complete,38,33,35
male,group D,college,free/reduced,complete,87,45,94
male,group B,associate's degree,standard,complete,66,38,90
male,group C,master's degree,standard,not complete,71,38,48
female,group B,high school,standard,not complete,43,99,77
male,group B,high school,free/reduced,not complete,71,77,47
other,group D,bachelor's degree,standard,not complete,59,43,73
female,group B,bachelor's degree,standard,not complete,31,42,88
undisclosed,group B,high school,Free/reduced,complete,37,92,66
,group C,associate's degree,free/reduced,complete,96,59,98
female,group D,associate's degree,free/reduced,complete,41,32,90
male,group B,high school,free/reduced,complete,75,97,78
male,group C,college,standard,complete,82,80,35
male,group D,college,free/reduced,complete,80,40,95
male,group E,master's degree,free/reduced,complete,87,33,33
male,group E,high school,free/reduced,complete,34,74,85
female,group D,high school,standard,not complete,96,83,37
female,,high school,standard,not complete,61,58,73
female,group C,high school,free/reduced,not complete,44,83,100
female,group A,high school,free/reduced,not complete,49,41,84
female,group C,college,free/reduced,complete,78,60,71
male,group A,high school,standard,not complete,74,34,33
male,group E,high school,standard,not complete,584,73,71
male,group B,bachelor's degree,free/reduced,complete,43,78,70
male,group E,associate's degree,standard,complete,73,73,35
female,group E,associate's degree,free/reduced,complete,79,55,39
undisclosed,group A,college,free/reduced,not complete,35,71,35
undisclosed,group C,Master's degree,free/reduced,complete,37,36,74
male,group B,college,free/reduced,complete,79,66,53
male,group D,associate's degree,standard,not complete,92,98,66
male,group A,college,standard,complete,69,47,89
male,group B,college,free/reduced,complete,32,67,87
female,group A,college,free/reduced,Not complete,46,86,88
female,group D,associate's degree,free/reduced,complete,67,87,78
other,group B,master's degree,,complete,76,92,43
male,group B,high school,free/reduced,not complete,76,71,62
female,group D,college,standard,complete,31,96,44
male,group D,college,standard,complete,90,78,96
female,group E,college,free/reduced,complete,40,86,94
male,group E,bachelor's degree,free/reduced,not complete,40,94,83
male,group E,bachelor's degree,free/reduced,not complete,40,94,83
female,group E,master's degree,free/reduced,complete,33,68,73
undisclosed,group C,college,standard,not complete,78,49,36
female,group D,master's degree,free/reduced,complete,77,31,46
female,group E,bachelor's degree,standard,complete,46,52,71
female,group C,bachelor's degree,free/reduced,not complete,41,72,74
male,group D,high school,standard,complete,68,69,100
female,,bachelor's degree,standard,complete,35,53,80
female,group C,high school,free/reduced,not complete,74,98,64
male,group D,college,free/reduced,complete,97,39,48
male,group B,bachelor's degree,standard,complete,35,74,70
male,group E,associate's degree,free/reduced,not complete,61,40,97
female,group C,associate's degree,standard,complete,59,60,75
female,group C,associate's degree,standard,complete,59,60,75
other,group B,college,free/reduced,complete,320,40,93
other,group B,high school,free/reduced,complete,48,70,66
female,group A,associate's degree,free/reduced,not complete,53,77,41
female,Group D,high school,standard,not complete,86,42,88
male,group E,associate's degree,standard,complete,53,33,76
female,group C,college,free/reduced,not complete,43,89,45
female,group C,college,standard,not complete,55,78,36
female,group E,college,free/reduced,complete,48,74,64
male,group E,college,free/reduced,complete,51,40,33
female,group E,College,free/reduced,not complete,97,68,85
female,group D,college,free/reduced,not complete,46,76,79
female,,college,standard,not complete,415,83,30
female,group D,college,standard,complete,56,43,63
male,group C,college,free/reduced,not complete,59,34,60
undisclosed,group B,college,standard,complete,31,82,70
undisclosed,group B,college,standard,complete,31,82,70
male,group D,college,free/reduced,not complete,73,82,78
male,group E,high school,free/reduced,complete,91,63,35
male,group E,college,free/reduced,not complete,34,60,59
male,group A,high school,free/reduced,not complete,44,51,77
male,group D,bachelor's degree,free/reduced,not complete,61,88,54
female,group E,high school,standard,complete,85,86,56
female,group D,associate's degree,standard,complete,76,78,34
male,group C,college,free/reduced,not complete,84,96,67
